added_route_id,trip_id
214,38303085
216,38303085
214,38303086
216,38303086
214,38300917
216,38300917
214,38301176
216,38301176
214,38301178
216,38301178
214,38301184
216,38301184
214,38301195
216,38301195
214,38301196
216,38301196
214,38301198
216,38301198
214,38301200
216,38301200
214,38301202
216,38301202
214,38301204
216,38301204
214,38301206
216,38301206
214,38301208
216,38301208
214,38301210
216,38301210
214,38301212
216,38301212
214,38301214
216,38301214
214,38301216
216,38301216
214,38301218
216,38301218
741,38187495
742,38187495
741,38187496
742,38187496
741,38187683
742,38187683
741,38187686
742,38187686
741,38188080
742,38188080
741,38188410
742,38188410
741,38188411
742,38188411
741,38188412
742,38188412
741,38188413
742,38188413
741,38188414
742,38188414
741,38188415
742,38188415
741,38188416
742,38188416
741,38188417
742,38188417
741,38188421
742,38188421
741,38188422
742,38188422
741,38188423
742,38188423
741,38188428
742,38188428
741,38188429
742,38188429
741,38188430
742,38188430
741,38188431
742,38188431
741,38188481
742,38188481
741,38188614
742,38188614
741,38188616
742,38188616
741,38188618
742,38188618
741,38188620
742,38188620
741,38188677
742,38188677
741,38188680
742,38188680
741,38188682
742,38188682
741,38188684
742,38188684
741,38188705
742,38188705
741,38188761
742,38188761
741,38188822
742,38188822
741,38188825
742,38188825
741,38188828
742,38188828
741,38188830
742,38188830
741,38188845
742,38188845
741,38188846
742,38188846
741,38188869
742,38188869
741,38188874
742,38188874
741,38189136
742,38189136
741,38189137
742,38189137
741,38189138
742,38189138
741,38189162
742,38189162
741,38189164
742,38189164
741,38189171
742,38189171
741,38189215
742,38189215
741,38189239
742,38189239
741,38189303
742,38189303
741,38189364
742,38189364
741,38189370
742,38189370
741,38189374
742,38189374
741,38189375
742,38189375
741,38189378
742,38189378
741,38189379
742,38189379
741,38189380
742,38189380
741,38189383
742,38189383
741,38189384
742,38189384
741,38189386
742,38189386
741,38189387
742,38189387
741,38189389
742,38189389
741,38189394
742,38189394
741,38189396
742,38189396
741,38189398
742,38189398
741,38189399
742,38189399
741,38189400
742,38189400
741,38189401
742,38189401
741,38189410
742,38189410
741,38189411
742,38189411
741,38189412
742,38189412
741,38189413
742,38189413
741,38189414
742,38189414
741,38189415
742,38189415
741,38189416
742,38189416
741,38189417
742,38189417
741,38189419
742,38189419
741,38189420
742,38189420
741,38189421
742,38189421
741,38189422
742,38189422
741,38189423
742,38189423
741,38189424
742,38189424
741,38189433
742,38189433
741,38189434
742,38189434
741,38190084
742,38190084
741,38190378
742,38190378
741,38190716
742,38190716
741,38190719
742,38190719
741,38190720
742,38190720
741,38190723
742,38190723
741,38190724
742,38190724
741,38190734
742,38190734
741,38190795
742,38190795
741,38190818
742,38190818
741,38190831
742,38190831
741,38190834
742,38190834
741,38190838
742,38190838
741,38190857
742,38190857
741,38190879
742,38190879
741,38190898
742,38190898
741,38190914
742,38190914
741,38190932
742,38190932
741,38190944
742,38190944
741,38190958
742,38190958
741,38190974
742,38190974
741,38190988
742,38190988
741,38191013
742,38191013
741,38181027
742,38181027
741,38181028
742,38181028
741,38181029
742,38181029
741,38181553
742,38181553
741,38181555
742,38181555
741,38181562
742,38181562
741,38181606
742,38181606
741,38181630
742,38181630
741,38181694
742,38181694
741,38181755
742,38181755
741,38181761
742,38181761
741,38181765
742,38181765
741,38181766
742,38181766
741,38181769
742,38181769
741,38181770
742,38181770
741,38181771
742,38181771
741,38181774
742,38181774
741,38181775
742,38181775
741,38181777
742,38181777
741,38181778
742,38181778
741,38181780
742,38181780
741,38181785
742,38181785
741,38181787
742,38181787
741,38181789
742,38181789
741,38181790
742,38181790
741,38181791
742,38181791
741,38181792
742,38181792
741,38181801
742,38181801
741,38181802
742,38181802
741,38181803
742,38181803
741,38181804
742,38181804
741,38181805
742,38181805
741,38181806
742,38181806
741,38181807
742,38181807
741,38181808
742,38181808
741,38181810
742,38181810
741,38181811
742,38181811
741,38181812
742,38181812
741,38181813
742,38181813
741,38181814
742,38181814
741,38181815
742,38181815
741,38181824
742,38181824
741,38181825
742,38181825
741,38182051
742,38182051
741,38182052
742,38182052
741,38182478
742,38182478
741,38182772
742,38182772
741,38183110
742,38183110
741,38183113
742,38183113
741,38183114
742,38183114
741,38183117
742,38183117
741,38183118
742,38183118
741,38183129
742,38183129
741,38183193
742,38183193
741,38183216
742,38183216
741,38183229
742,38183229
741,38183232
742,38183232
741,38183236
742,38183236
741,38183255
742,38183255
741,38183277
742,38183277
741,38183296
742,38183296
741,38183312
742,38183312
741,38183330
742,38183330
741,38183342
742,38183342
741,38183356
742,38183356
741,38183372
742,38183372
741,38183386
742,38183386
741,38183645
742,38183645
741,38183646
742,38183646
741,38183647
742,38183647
741,38183671
742,38183671
741,38183673
742,38183673
741,38183680
742,38183680
741,38183724
742,38183724
741,38183748
742,38183748
741,38183812
742,38183812
741,38183873
742,38183873
741,38183879
742,38183879
741,38183883
742,38183883
741,38183884
742,38183884
741,38183887
742,38183887
741,38183888
742,38183888
741,38183889
742,38183889
741,38183892
742,38183892
741,38183893
742,38183893
741,38183895
742,38183895
741,38183896
742,38183896
741,38183898
742,38183898
741,38183903
742,38183903
741,38183905
742,38183905
741,38183907
742,38183907
741,38183908
742,38183908
741,38183909
742,38183909
741,38183910
742,38183910
741,38183919
742,38183919
741,38183920
742,38183920
741,38183921
742,38183921
741,38183922
742,38183922
741,38183923
742,38183923
741,38183924
742,38183924
741,38183925
742,38183925
741,38183926
742,38183926
741,38183928
742,38183928
741,38183929
742,38183929
741,38183930
742,38183930
741,38183931
742,38183931
741,38183932
742,38183932
741,38183933
742,38183933
741,38183942
742,38183942
741,38183943
742,38183943
741,38184593
