route_id,stop_name,stop_id,direction_id,stop_lat,stop_long,stop_sequence
Orange,Malden Center,70034,0,42.426632,-71.07411,2
Orange,Stony Brook,70005,1,42.317062,-71.104248,3
Orange,Wellington,70032,0,42.40237,-71.077082,3
Orange,Jackson Square,70007,1,42.323132,-71.099592,4
Orange,Assembly,70278,0,42.392811,-71.077257,4
Orange,Roxbury Crossing,70009,1,42.331397,-71.095451,5
Orange,Sullivan Square,70030,0,42.383975,-71.076994,5
Orange,Ruggles,70011,1,42.336377,-71.088961,6
Orange,Community College,70028,0,42.373622,-71.069533,6
Orange,Massachusetts Avenue,70013,1,42.341512,-71.083423,7
Orange,North Station,70026,0,42.365577,-71.06129,7
Orange,Back Bay,70015,1,42.34735,-71.075727,8
Orange,Haymarket,70024,0,42.363021,-71.05829,8
Orange,Tufts Medical Center,70017,1,42.349662,-71.063917,9
Orange,State Street,70022,0,42.358978,-71.057598,9
Orange,Chinatown,70019,1,42.352547,-71.062752,10
Orange,Downtown Crossing,70020,0,42.355518,-71.060225,10
Orange,Chinatown,70018,0,42.352547,-71.062752,11
Orange,Downtown Crossing,70021,1,42.355518,-71.060225,11
Orange,Tufts Medical Center,70016,0,42.349662,-71.063917,12
Orange,State Street,70023,1,42.358978,-71.057598,12
Orange,Back Bay,70014,0,42.34735,-71.075727,13
Orange,Haymarket,70025,1,42.363021,-71.05829,13
Orange,Massachusetts Avenue,70012,0,42.341512,-71.083423,14
Orange,North Station,70027,1,42.365577,-71.06129,14
Orange,Ruggles,70010,0,42.336377,-71.088961,15
Orange,Community College,70029,1,42.373622,-71.069533,15
Orange,Roxbury Crossing,70008,0,42.331397,-71.095451,16
Orange,Sullivan Square,70031,1,42.383975,-71.076994,16
Orange,Jackson Square,70006,0,42.323132,-71.099592,17
Orange,Assembly,70279,1,42.392811,-71.077257,17
Orange,Stony Brook,70004,0,42.317062,-71.104248,18
Orange,Wellington,70033,1,42.40237,-71.077082,18
Orange,Green Street,70002,0,42.310525,-71.107414,19
Orange,Malden Center,70035,1,42.426632,-71.07411,19
Orange,Forest Hills,70001,0,42.300523,-71.113686,20
Orange,Oak Grove,70036,1,42.43668,-71.071097,20
Red,Alewife,70061,0,42.395428,-71.142483,1
Red,Braintree,70105,1,42.208371,-71.001423,1
Red,Davis,70063,0,42.39674,-71.121815,2
Red,Quincy Adams,70104,1,42.233391,-71.007153,2
Red,Porter,70065,0,42.3884,-71.119149,3
Red,Quincy Center,70102,1,42.251809,-71.005409,3
Red,Harvard,70067,0,42.373362,-71.118956,4
Red,Central,70069,0,42.365304,-71.103621,5
Red,North Quincy,70098,1,42.275275,-71.029583,5
Red,Kendall/MIT,70071,0,42.362355,-71.085605,6
Red,JFK/UMass,70096,1,42.320685,-71.052391,6
Red,Charles/MGH,70073,0,42.361166,-71.070628,7
Red,Andrew,70084,1,42.330154,-71.057655,7
Red,Park Street,70075,0,42.356395,-71.062424,8
Red,Broadway,70082,1,42.342622,-71.056967,8
Red,Downtown Crossing,70077,0,42.355518,-71.060225,9
Red,South Station,70080,1,42.352271,-71.055242,9
Red,Downtown Crossing,70078,1,42.355518,-71.060225,10
Red,South Station,70079,0,42.352271,-71.055242,10
Red,Park Street,70076,1,42.356395,-71.062424,11
Red,Broadway,70081,0,42.342622,-71.056967,11
Red,Charles/MGH,70074,1,42.361166,-71.070628,12
Red,Andrew,70083,0,42.330154,-71.057655,12
Red,Kendall/MIT,70072,1,42.362434,-71.085591,13
Red,JFK/UMass,70095,0,42.320685,-71.052391,13
Red,Central,70070,1,42.365379,-71.103554,14
Red,North Quincy,70097,0,42.275275,-71.029583,14
Red,Harvard,70068,1,42.373362,-71.118956,15
Red,Porter,70066,1,42.3884,-71.119149,16
Red,Quincy Center,70101,0,42.251809,-71.005409,16
Red,Davis,70064,1,42.39674,-71.121815,17
Red,Quincy Adams,70103,0,42.233391,-71.007153,17
Red,Alewife,70061,1,42.395428,-71.142483,18
Red,Braintree,70105,0,42.208371,-71.001423,18
